label,value
Accounting 1,Accounting 1
Acctg 1,Acctg 1
Anthro 10,Anthro 10
Anthro 100,Anthro 100
Anthro 101,Anthro 101
Anthro 101.1,Anthro 101.1
Anthro 111.1,Anthro 111.1
Anthro 112,Anthro 112
Anthro 118,Anthro 118
Anthro 123,Anthro 123
Anthro 133,Anthro 133
Anthro 151,Anthro 151
Anthro 161,Anthro 161
Anthro 167,Anthro 167
Anthro 172,Anthro 172
Anthro 173,Anthro 173
Anthro 179,Anthro 179
Anthro 181,Anthro 181
Anthro 190,Anthro 190
Anthro 194,Anthro 194
Anthro 202,Anthro 202
Anthro 205,Anthro 205
Anthro 212,Anthro 212
Anthro 223,Anthro 223
Anthro 224,Anthro 224
Anthro 225,Anthro 225
Anthro 261,Anthro 261
Anthro 275,Anthro 275
Anthro 277,Anthro 277
Anthro 278,Anthro 278
Anthro 282,Anthro 282
Anthro 297,Anthro 297
Anthro 300,Anthro 300
Anthro 400,Anthro 400
Anthropology 114,Anthropology 114
App Physics,App Physics
Aral Pil,Aral Pil
Arch 3,Arch 3
Arch 4,Arch 4
Arch 5,Arch 5
Arch 16,Arch 16
Arch 18,Arch 18
Arch 20,Arch 20
Arch 22,Arch 22
Arch 23,Arch 23
Arch 32,Arch 32
Arch 33,Arch 33
Arch 35,Arch 35
Arch 55,Arch 55
Arch 75,Arch 75
Arch 134,Arch 134
Arch 142,Arch 142
Arch 147,Arch 147
Arch 149,Arch 149
Arch 162,Arch 162
Arch 171,Arch 171
Arch 199.2,Arch 199.2
Arch 202,Arch 202
Arch 205,Arch 205
Arch 206,Arch 206
Arch 211,Arch 211
Arch 221,Arch 221
Arch 233,Arch 233
Arch 234,Arch 234
Arch 236,Arch 236
Arch 251,Arch 251
Arch 300,Arch 300
Archaeo 2,Archaeo 2
Archi 203,Archi 203
Archi 210,Archi 210
Archi 211,Archi 211
Archi 232,Archi 232
Archi 233,Archi 233
Archi 241,Archi 241
Archi 242,Archi 242
Archi 243,Archi 243
Archi 244,Archi 244
Archi 252,Archi 252
Archi 253,Archi 253
Archi 262,Archi 262
Archi 299,Archi 299
Archi 300,Archi 300
Arkiyoloji 1,Arkiyoloji 1
ARTS 1,ARTS 1
Art Stud,Art Stud
AS 201-A,AS 201-A
AS 201,AS 201
AS 201-A,AS 201-A
AS 203,AS 203
AS 206,AS 206
AS 207,AS 207
AS 210,AS 210
AS 211,AS 211
AS 230,AS 230
AS 234,AS 234
AS 235.1,AS 235.1
AS 235.2,AS 235.2
AS 235.3,AS 235.3
AS 236.1,AS 236.1
AS 236.2,AS 236.2
AS 236.3,AS 236.3
AS 237.1,AS 237.1
AS 237.2,AS 237.2
AS 237.3,AS 237.3
AS 250,AS 250
AS 254,AS 254
AS 255.1,AS 255.1
AS 255.2,AS 255.2
AS 282,AS 282
AS 298,AS 298
AS 299,AS 299
AS 300,AS 300
B 264,B 264
B 297,B 297
BA 99.2,BA 99.2
BA 101,BA 101
BA 102,BA 102
BA 103,BA 103
BA 105,BA 105
BA 106,BA 106
BA 114.2,BA 114.2
BA 115,BA 115
BA 117,BA 117
BA 118.1,BA 118.1
BA 118.2,BA 118.2
BA 118.3,BA 118.3
BA 119,BA 119
BA 121,BA 121
BA 122.1,BA 122.1
BA 123,BA 123
BA 124,BA 124
BA 126,BA 126
BA 127,BA 127
BA 129,BA 129
BA 132,BA 132
BA 133,BA 133
BA 141,BA 141
BA 142,BA 142
BA 148,BA 148
BA 151,BA 151
BA 152,BA 152
BA 158,BA 158
BA 162,BA 162
BA 166,BA 166
BA 168,BA 168
BA 170,BA 170
BA 172,BA 172
BA 174,BA 174
BA 177,BA 177
BA 178,BA 178
BA 180.1,BA 180.1
BA 181,BA 181
BA 182,BA 182
BA 186,BA 186
BA 190,BA 190
BA 192,BA 192
BA 303,BA 303
BA 313,BA 313
BA 335,BA 335
BA 391,BA 391
BA 394,BA 394
BA 395,BA 395
BC 122,BC 122
BC 124,BC 124
BC 148,BC 148
BC 174,BC 174
BC 181,BC 181
BC 182,BC 182
BC 196,BC 196
BC 198,BC 198
BC 199,BC 199
BC 200,BC 200
B Ind/Mal,B Ind/Mal
BIO 1,BIO 1
BIO 11,BIO 11
BIO 11.1,BIO 11.1
BIO 12,BIO 12
BIO 12.1,BIO 12.1
BIO 100,BIO 100
BIO 101,BIO 101
BIO 102,BIO 102
BIO 102.1,BIO 102.1
BIO 112,BIO 112
BIO 113,BIO 113
BIO 120,BIO 120
BIO 121,BIO 121
BIO 122,BIO 122
BIO 122.1,BIO 122.1
BIO 123,BIO 123
BIO 133,BIO 133
BIO 134,BIO 134
BIO 140,BIO 140
BIO 140.1,BIO 140.1
BIO 150,BIO 150
BIO 150.1,BIO 150.1
BIO 151,BIO 151
BIO 160,BIO 160
BIO 160.1,BIO 160.1
BIO 163,BIO 163
BIO 164,BIO 164
BIO 165,BIO 165
BIO 191,BIO 191
BIO 196,BIO 196
BIO 200b,BIO 200b
BIO 200,BIO 200
BIO 200b,BIO 200b
BIO 200,BIO 200
BIO 200b,BIO 200b
BIO 200,BIO 200
BIO 200b,BIO 200b
BIO 200,BIO 200
BIO 200b,BIO 200b
BIO 200,BIO 200
BIO 200b,BIO 200b
BIO 200,BIO 200
BIO 210,BIO 210
BIO 220,BIO 220
BIO 233,BIO 233
BIO 240,BIO 240
BIO 241,BIO 241
BIO 243,BIO 243
BIO 250,BIO 250
BIO 251,BIO 251
BIO 260,BIO 260
BIO 262,BIO 262
BIO 265,BIO 265
BIO 281,BIO 281
BIO 296,BIO 296
BIO 299,BIO 299
BIO 300,BIO 300
BIO 395,BIO 395
BIO 397,BIO 397
BIO 399,BIO 399
BIO 400,BIO 400
Bioethics 212,Bioethics 212
Bioethics 231,Bioethics 231
BJ 101,BJ 101
BJ 130,BJ 130
BMAS 100,BMAS 100
BMAS 105,BMAS 105
BMAS 107,BMAS 107
BMAS 108,BMAS 108
BMAS 109,BMAS 109
BMAS 111,BMAS 111
BMAS 123,BMAS 123
BMAS 125,BMAS 125
BMAS 126,BMAS 126
CD 11,CD 11
CD 100,CD 100
CD 101,CD 101
CD 110,CD 110
CD 111,CD 111
CD 112,CD 112
CD 121,CD 121
CD 122,CD 122
CD 123,CD 123
CD 126,CD 126
CD 131,CD 131
CD 134,CD 134
CD 135,CD 135
CD 180,CD 180
CD 181,CD 181
CD 190,CD 190
CD 192,CD 192
CD 201,CD 201
CD 202,CD 202
CD 221,CD 221
CD 224,CD 224
CD 231,CD 231
CD 234,CD 234
CD 235,CD 235
CD 236,CD 236
CD 241,CD 241
CD 242,CD 242
CD 271,CD 271
CD 280,CD 280
CD 291,CD 291
CD 292,CD 292
CD 300,CD 300
CE 1,CE 1
CE 11,CE 11
CE 17,CE 17
CE 18,CE 18
CE 22,CE 22
CE 24,CE 24
CE 25,CE 25
CE 29,CE 29
CE 31,CE 31
CE 41,CE 41
CE 111,CE 111
CE 112,CE 112
CE 115,CE 115
CE 116,CE 116
CE 117,CE 117
CE 123,CE 123
CE 124,CE 124
CE 130,CE 130
CE 132,CE 132
CE 141,CE 141
CE 142,CE 142
CE 151,CE 151
CE 152,CE 152
CE 156,CE 156
CE 157,CE 157
CE 162,CE 162
CE 163,CE 163
CE 190,CE 190
CE 197,CE 197
CE 198,CE 198
CE 199,CE 199
CE 201,CE 201
CE 211,CE 211
CE 213,CE 213
CE 214,CE 214
CE 226,CE 226
CE 246,CE 246
CE 248,CE 248
CE 249,CE 249
CE 250,CE 250
CE 252,CE 252
CE 259,CE 259
